CODIGO,PADRE,AÑO,NOMBRE,PAGOS
1.2.2.6.3,1.2.2.6,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,13870426
1.1.4.3.1.1,1.1.4.3.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,187864000
1.1.4.1.1.3,1.1.4.1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,46903200
1.1.4.3.2,1.1.4.3,2017,ADMINISTRACIÓN CENTRAL,13874164347
1.1.4.1.1,1.1.4.1,2017,SECRETARÍA DE EDUCACIÓN,5270008054
1.2.2.12,1.2.2,2016,GASTOS FINANCIEROS,391683.079
1.1.4,1.1,2017,ADMINISTRACIÓN CENTRAL,183229304776
1.1.1.25,1.1.1,2017,CONCEJO - SOLO MUNICIPIOS,1106915397
1.2.2.8,1.2.2,2017,CONTRALORIA,140475541
1.1.3.7,1.1.3,2017,CONCEJO - SOLO MUNICIPIOS,320374600
1.1,1,2017,SECRETARÍA DE EDUCACIÓN,66836266711
1.1.1.4,1.1.1,2016,PRIMAS LEGALES,235950980.079
1.2.2.8,1.2.2,2017,ADMINISTRACIÓN CENTRAL,742951140
1.1.4.1.1.1,1.1.4.1.1,2017,SECRETARÍA DE SALUD,36728100
1.3.8,1.3,2016,TRANSFERENCIA A LAS CORPORACIONES AUTÓNOMAS REGIONALES,366641970.529
1.3,1,2017,SECRETARÍA DE EDUCACIÓN,159190645
1.1,1,2016,GASTOS DE PERSONAL,1020177246.385
1.1.4.1.1.4.1,1.1.4.1.1.4,2017,SECRETARÍA DE EDUCACIÓN,2443750618
1.1.4.3.2,1.1.4.3,2017,PERSONERIA - SOLO MUNICIPIOS,1964358100
1.1.4.2.1.2.1,1.1.4.2.1.2,2017,SECRETARÍA DE EDUCACIÓN,1695432400
1.2.2.6,1.2.2,2017,CONTRALORIA,387880243
1.3.19,1.3,2017,CONTRALORIA,349292987
1.1.4.3,1.1.4,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,845229700
1.2.2.8,1.2.2,2017,PERSONERIA - SOLO MUNICIPIOS,180736237
1.2.2.6.3,1.2.2.6,2017,SECRETARÍA DE EDUCACIÓN,104673237
1.1.1.3,1.1.1,2017,CONCEJO - SOLO MUNICIPIOS,681728295
1.1.3,1.1,2017,CONCEJO - SOLO MUNICIPIOS,15623881561
1.2.2.5,1.2.2,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,414185334
1.1.1.9,1.1.1,2016,DOTACIÓN DE PERSONAL,332569.967
1.1.4.3.1.1,1.1.4.3.1,2017,SECRETARÍA DE EDUCACIÓN,211342900
1.2.2.3.2,1.2.2.3,2016,SEGUROS  DE VIDA,202514.358
1.1.4,1.1,2017,PERSONERIA - SOLO MUNICIPIOS,23988786289
1.2.2.3,1.2.2,2017,CONCEJO - SOLO MUNICIPIOS,1422518230
1.3.6,1.3,2017,ADMINISTRACIÓN CENTRAL,488911947143
1.1.4.2.1,1.1.4.2,2017,CONCEJO - SOLO MUNICIPIOS,8073879205
1.2.2.19,1.2.2,2016,OTROS GASTOS ADQUISICIÓN DE SERVICIOS,24837185.583
1.1.3.1,1.1.3,2017,SECRETARÍA DE EDUCACIÓN,1584373130
1.1.4.1.1.2,1.1.4.1.1,2017,CONTRALORIA,5482263228
1.2.2.6.1,1.2.2.6,2017,CONCEJO - SOLO MUNICIPIOS,152536430
1.1.4.3.4,1.1.4.3,2017,CONTRALORIA,3027304935
1.3.19,1.3,2016,SENTENCIAS Y CONCILIACIONES,35481979.487
1.1.4.3.5,1.1.4.3,2017,SECRETARÍA DE SALUD,336892220
1.1.4.2,1.1.4,2017,CONTRALORIA,10338180010
1.1.4.1.1.4.1,1.1.4.1.1.4,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,709499483
1.1.4.1.1,1.1.4.1,2017,SECRETARÍA DE SALUD,3038769361
1.1.1.9,1.1.1,2017,SECRETARÍA DE EDUCACIÓN,139468230
1.1.1,1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,10259263448
1.1.4.3.3,1.1.4.3,2017,SECRETARÍA DE SALUD,168565310
1.1.4.3.4,1.1.4.3,2017,PERSONERIA - SOLO MUNICIPIOS,2695290320
1.10,1,2016,OTROS GASTOS DE FUNCIONAMIENTO,153859607.545
1.1.4.2.1.1.1,1.1.4.2.1.1,2017,CONCEJO - SOLO MUNICIPIOS,3039812438
1.2,1,2017,PERSONERIA - SOLO MUNICIPIOS,7054016309
1.1.4,1.1,2017,CONTRALORIA,29561638932
1.1.1.7.1,1.1.1.7,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,9879802
1.1.4.3.5,1.1.4.3,2017,SECRETARÍA DE EDUCACIÓN,422226600
1.1.4.2.1.2.1,1.1.4.2.1.2,2017,SECRETARÍA DE SALUD,1224766536
1.1.4.2.1.3.1,1.1.4.2.1.3,2017,CONCEJO - SOLO MUNICIPIOS,290092700
1.1.3.1,1.1.3,2016,HONORARIOS,28208889.379
1.1.4.2.1.1,1.1.4.2.1,2017,SECRETARÍA DE EDUCACIÓN,3218546690
1.1.4.1.1.2.1,1.1.4.1.1.2,2017,SECRETARÍA DE SALUD,2250949600
1.1.1.5,1.1.1,2017,SECRETARÍA DE EDUCACIÓN,199001694
1.1.3.1,1.1.3,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,2958651425
1.2.2.3.2.1,1.2.2.3.2,2017,CONCEJO - SOLO MUNICIPIOS,45229289
1.2.1,1.2,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,96457169
1.1.4.3.5.1,1.1.4.3.5,2017,SECRETARÍA DE SALUD,336892220
1.2.2.3.5,1.2.2.3,2016,PÓLIZA DE SEGURO DE SALUD PARA CONCEJALES  MUNICIPIOS DE CATEGORÍA ESPECIAL 1 2 Y 3,1051369.6
1.2.2.6.2,1.2.2.6,2017,CONTRALORIA,135090352
1.3.6.4,1.3.6,2017,ADMINISTRACIÓN CENTRAL,201996337776
1.1.4.3.2.1,1.1.4.3.2,2017,SECRETARÍA DE SALUD,1010133060
1.2.2.6,1.2.2,2017,PERSONERIA - SOLO MUNICIPIOS,675444389
1.1.1.5,1.1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,32701503
1.2.2.6.4,1.2.2.6,2017,ADMINISTRACIÓN CENTRAL,2162948456
1.2.1,1.2,2017,SECRETARÍA DE EDUCACIÓN,2182941683
1.1.4.2.1.2,1.1.4.2.1,2017,ADMINISTRACIÓN CENTRAL,21334533386
1.3.6.1.2,1.3.6.1,2017,ADMINISTRACIÓN CENTRAL,271432209498
1.1.4.2.1.3,1.1.4.2.1,2017,SECRETARÍA DE EDUCACIÓN,188401868
1.1.4.3.1.1,1.1.4.3.1,2017,CONCEJO - SOLO MUNICIPIOS,180359350
1.1.4.1.1.4,1.1.4.1.1,2017,CONTRALORIA,6718122812
1.2.2.6.4,1.2.2.6,2017,CONTRALORIA,142380
1.2.2,1.2,2017,CONTRALORIA,2725613935
1.1.3.4,1.1.3,2016,SERVICIOS TÉCNICOS,10689614.183
1.1.1.7,1.1.1,2016,AUXILIO DE TRANSPORTE,710594.457
1.2.2.4,1.2.2,2017,PERSONERIA - SOLO MUNICIPIOS,2386906
1.2.2.1,1.2.2,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,14918000
1.1.1.25,1.1.1,2017,SECRETARÍA DE SALUD,1127226911
1.2.2.3.1,1.2.2.3,2017,CONCEJO - SOLO MUNICIPIOS,58301769
1.1.4.3.4,1.1.4.3,2016,CAJAS DE COMPENSACIÓN FAMILIAR,23341861.418
1.1.4.1.1,1.1.4.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,1238084069
1.1.4.2.1.1,1.1.4.2.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,692038818
1.1.4.1.1.4.1,1.1.4.1.1.4,2017,CONCEJO - SOLO MUNICIPIOS,1447053669
1.2.2.4,1.2.2,2016,CONTRIBUCIONES TASAS IMPUESTOS Y MULTAS,1796216.520
1.1.3.7,1.1.3,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,0
1.1,1,2017,SECRETARÍA DE SALUD,47947230873
1.2.2,1.2,2017,PERSONERIA - SOLO MUNICIPIOS,6143561670
1.1.4.3.2.1,1.1.4.3.2,2017,SECRETARÍA DE EDUCACIÓN,1265862400
1.1.3,1.1,2017,SECRETARÍA DE SALUD,910155274
1.1.1,1.1,2017,CONCEJO - SOLO MUNICIPIOS,46067803822
1.2.1.2,1.2.1,2017,ADMINISTRACIÓN CENTRAL,2400669509
1.1.4.3.1,1.1.4.3,2017,CONCEJO - SOLO MUNICIPIOS,180359350
1.1.4.1.1.1.1,1.1.4.1.1.1,2017,CONCEJO - SOLO MUNICIPIOS,48216012
1.1.4.1.1.4,1.1.4.1.1,2017,PERSONERIA - SOLO MUNICIPIOS,3622612660
1.1.1.1,1.1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,5689856204
1.2.4,1.2,2017,ADMINISTRACIÓN CENTRAL,6836747823
1.1.4.3.4,1.1.4.3,2017,ADMINISTRACIÓN CENTRAL,18507265036
1,,2017,CONCEJO - SOLO MUNICIPIOS,80820683068
1.2.1.2,1.2.1,2017,PERSONERIA - SOLO MUNICIPIOS,290306789
1.1.4.2.1,1.1.4.2,2017,SECRETARÍA DE EDUCACIÓN,6601566846
1.1.4.2.1.1.1,1.1.4.2.1.1,2017,SECRETARÍA DE SALUD,2454095230
1.1.4.1.1.4.1,1.1.4.1.1.4,2017,SECRETARÍA DE SALUD,491362617
1.2.2.4,1.2.2,2017,CONTRALORIA,3321304
1.1.1.1,1.1.1,2017,SECRETARÍA DE EDUCACIÓN,27325267426
1.3.6.4.4,1.3.6.4,2016,TRANSFERENCIA DE CONCURRENCIAS PARA PAGO DE PASIVOS PENSIONALES Y PRESTACIONALES,60641208.057
1.3.19,1.3,2017,PERSONERIA - SOLO MUNICIPIOS,119110569
1.1.4.2.1.1.1,1.1.4.2.1.1,2017,SECRETARÍA DE EDUCACIÓN,3218546690
1.1.4.3.1,1.1.4.3,2017,SECRETARÍA DE EDUCACIÓN,211342900
1.1.4.1.1.3.1,1.1.4.1.1.3,2017,SECRETARÍA DE SALUD,259729044
1.2.2.6.1,1.2.2.6,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,108139764
1.2.2.19,1.2.2,2017,CONTRALORIA,2036042666
1.1.1.25,1.1.1,2017,SECRETARÍA DE EDUCACIÓN,1743574888
1.1.1.3,1.1.1,2017,SECRETARÍA DE SALUD,492979579
1.1.4.2.1.4.1,1.1.4.2.1.4,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,243956692
1.1.4.3.5,1.1.4.3,2017,CONCEJO - SOLO MUNICIPIOS,360319597
1.1.1,1.1,2017,SECRETARÍA DE EDUCACIÓN,48469469191
1.1.1.7,1.1.1,2017,SECRETARÍA DE EDUCACIÓN,126472574
1.2.9,1.2,2016,OTROS GASTOS GENERALES,16412918.604
1.1.1.7,1.1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,9879802
1,,2017,SECRETARÍA DE SALUD,48450470674
1.1.4.1.1.3,1.1.4.1.1,2017,SECRETARÍA DE SALUD,259729044
1.1.4.1.1.2,1.1.4.1.1,2017,PERSONERIA - SOLO MUNICIPIOS,4850570995
1.1.4.3,1.1.4,2017,SECRETARÍA DE EDUCACIÓN,3798361500
1.1.4.2,1.1.4,2017,ADMINISTRACIÓN CENTRAL,81140041414
1.1.4.1.1.3.1,1.1.4.1.1.3,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,46903200
1.1.4.3.3,1.1.4.3,2017,CONCEJO - SOLO MUNICIPIOS,180359350
1.1.1.5,1.1.1,2017,SECRETARÍA DE SALUD,184026123
1.2.2.19,1.2.2,2017,PERSONERIA - SOLO MUNICIPIOS,3509250208
1.1.1.25,1.1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,247187669
1.1.4.1,1.1.4,2017,CONCEJO - SOLO MUNICIPIOS,3268688631
1.1.4.1.1.2,1.1.4.1.1,2017,ADMINISTRACIÓN CENTRAL,32243164700
1.2.2.11,1.2.2,2017,ADMINISTRACIÓN CENTRAL,31803036977
1.2.2.11,1.2.2,2016,MANTENIMIENTO Y REPARACIONES,37540510.710
1.2.2,1.2,2016,ADQUISICIÓN DE SERVICIOS,311447476.184
1,,2017,SECRETARÍA DE EDUCACIÓN,91679998986
1.1,1,2017,CONCEJO - SOLO MUNICIPIOS,76275833379
1.1.4.2.1,1.1.4.2,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,1427709804
1.1.4.2.1.4,1.1.4.2.1,2016,APORTES PARA CESANTÍAS,25357984.636
1.1.4.2.1.2,1.1.4.2.1,2017,PERSONERIA - SOLO MUNICIPIOS,2014912502
1.3,1,2017,SECRETARÍA DE SALUD,503239801
1.2.2.19,1.2.2,2017,ADMINISTRACIÓN CENTRAL,30019098608
1.2.2.2,1.2.2,2017,PERSONERIA - SOLO MUNICIPIOS,24334428
1.2.2.5,1.2.2,2017,SECRETARÍA DE EDUCACIÓN,8503364091
1.2.1.9,1.2.1,2017,CONCEJO - SOLO MUNICIPIOS,971759761
1.2.1,1.2,2016,ADQUISICIÓN DE BIENES,17566425.690
1.1.1.7,1.1.1,2017,SECRETARÍA DE SALUD,3835526
1.1.3.7,1.1.3,2017,SECRETARÍA DE SALUD,0
1.1.4.3.3,1.1.4.3,2017,SECRETARÍA DE EDUCACIÓN,211342900
1.3.6.4,1.3.6,2016,A UNIVERSIDADES PÚBLICAS,184370657.33
1.1.4.2.1.1.1,1.1.4.2.1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,692038818
1.1.4.3.5.1,1.1.4.3.5,2017,SECRETARÍA DE EDUCACIÓN,422226600
1.1.4.3.1.1,1.1.4.3.1,2017,SECRETARÍA DE SALUD,168565310
1.1.1.4,1.1.1,2017,PERSONERIA - SOLO MUNICIPIOS,28373634393
1.1.1.3,1.1.1,2017,SECRETARÍA DE EDUCACIÓN,172448400
1.1.4.1.1,1.1.4.1,2017,CONCEJO - SOLO MUNICIPIOS,3268688631
1.3.6.4.4,1.3.6.4,2017,ADMINISTRACIÓN CENTRAL,63227762578
1.2.2.4,1.2.2,2017,ADMINISTRACIÓN CENTRAL,1391575405
1.1.4.3.1,1.1.4.3,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,187864000
1.1.4.2.1.4,1.1.4.2.1,2017,CONTRALORIA,1595743671
1.1.4.2.1,1.1.4.2,2017,SECRETARÍA DE SALUD,3902366933
1.1.4.1.1.1.1,1.1.4.1.1.1,2017,SECRETARÍA DE SALUD,36728100
1.1.4.2.1.4,1.1.4.2.1,2017,ADMINISTRACIÓN CENTRAL,20798330056
1.2.2,1.2,2017,ADMINISTRACIÓN CENTRAL,126805227001
1.1.4.2.1.4,1.1.4.2.1,2017,PERSONERIA - SOLO MUNICIPIOS,1782029000
1.2.1.2,1.2.1,2017,CONTRALORIA,79834718
1.2.1.1,1.2.1,2017,CONCEJO - SOLO MUNICIPIOS,3007941
1.2.1.9,1.2.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,42756893
1.1.1.2,1.1.1,2017,ADMINISTRACIÓN CENTRAL,18527436830
1.1.4.3.3.1,1.1.4.3.3,2017,SECRETARÍA DE SALUD,168565310
1.1.4.1.1.1,1.1.4.1.1,2017,CONCEJO - SOLO MUNICIPIOS,48216012
1.2.2.6.2,1.2.2.6,2017,ADMINISTRACIÓN CENTRAL,4615776403
1.1.1.3,1.1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,72565506
1.1.4.3.4.1,1.1.4.3.4,2017,CONCEJO - SOLO MUNICIPIOS,1440231880
1.2.2.2,1.2.2,2017,CONTRALORIA,54717971
1.3.6.4.1,1.3.6.4,2016,TRANSFERENCIA ARTÍCULO 86 LEY 30 DE 1992 PARA FUNCIONAMIENTO,123729449.273
1.3.19,1.3,2017,ADMINISTRACIÓN CENTRAL,36341896617
1.1.3.7,1.1.3,2017,SECRETARÍA DE EDUCACIÓN,2189600
1.1.4.1.1.4,1.1.4.1.1,2017,ADMINISTRACIÓN CENTRAL,25674426060
1.1.4.2.1.3.1,1.1.4.2.1.3,2017,SECRETARÍA DE EDUCACIÓN,188401868
1.1.4.2.1.1,1.1.4.2.1,2017,SECRETARÍA DE SALUD,2454095230
1.2.2.6,1.2.2,2017,ADMINISTRACIÓN CENTRAL,23533784629
1.1.4.3.3.1,1.1.4.3.3,2017,CONCEJO - SOLO MUNICIPIOS,180359350
1.2,1,2017,ADMINISTRACIÓN CENTRAL,175310720023
1.1.4.3.1,1.1.4.3,2017,SECRETARÍA DE SALUD,168565310
1.1.4.1,1.1.4,2017,SECRETARÍA DE EDUCACIÓN,5270008054
1.2.2.5,1.2.2,2016,ARRENDAMIENTOS,15331535.986
1.2.2.1,1.2.2,2017,SECRETARÍA DE EDUCACIÓN,375000000
1.1.4.2.1.1,1.1.4.2.1,2017,CONCEJO - SOLO MUNICIPIOS,3039812438
1.1.4.1,1.1.4,2016,AL SECTOR PÚBLICO,87253908.510
1.1.4.1.1.4,1.1.4.1.1,2016,APORTES PARA CESANTÍAS,27027082.076
1.3.6.6,1.3.6,2016,A ENTIDADES EN LIQUIDACIÓN,134823.925
1.1.4.2.1.2,1.1.4.2.1,2017,CONTRALORIA,2558924260
1.1.3.7,1.1.3,2016,OTROS SERVICIOS PERSONALES INDIRECTOS,46230398.480
1.3.8,1.3,2017,ADMINISTRACIÓN CENTRAL,449041383647
1.2.2.8.1,1.2.2.8,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,21490668
1.1.4.1.1.2.1,1.1.4.1.1.2,2017,SECRETARÍA DE EDUCACIÓN,2826257436
1.1.4.3.2.1,1.1.4.3.2,2017,CONCEJO - SOLO MUNICIPIOS,1080309983
1.1.4.1.1.2.1,1.1.4.1.1.2,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,481681386
1.2.2.8.1,1.2.2.8,2017,SECRETARÍA DE EDUCACIÓN,83881420
1.3.6.5,1.3.6,2016,A OTRAS ENTIDADES DESCENTRALIZADAS,13917288.356
1.2.2.6.3,1.2.2.6,2017,CONCEJO - SOLO MUNICIPIOS,53211988
1.1.1,1.1,2017,SECRETARÍA DE SALUD,37064956525
1.2.9,1.2,2017,CONCEJO - SOLO MUNICIPIOS,0
1.2.1.1,1.2.1,2017,SECRETARÍA DE EDUCACIÓN,0
1.3.12.1,1.3.12,2016,TRANSFERENCIA CORRIENTE,18734931.661
1.2.1,1.2,2017,CONCEJO - SOLO MUNICIPIOS,1030621506
1.1.3.4,1.1.3,2017,ADMINISTRACIÓN CENTRAL,4064170037
1.3,1,2017,CONCEJO - SOLO MUNICIPIOS,42534295
1.1.1.1,1.1.1,2017,SECRETARÍA DE SALUD,20221333462
1.1.1.5,1.1.1,2017,PERSONERIA - SOLO MUNICIPIOS,304824408
1.1.1,1.1,2016,SERVICIOS PERSONALES ASOCIADOS A LA NOMINA,685186229.651
1.1.4.1.1.1.1,1.1.4.1.1.1,2017,ADMINISTRACIÓN CENTRAL,192466819
1.2,1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,2140470420
1.2.1.9,1.2.1,2017,ADMINISTRACIÓN CENTRAL,21566809525
1.3.12.1,1.3.12,2017,ADMINISTRACIÓN CENTRAL,25645684959
1.2.4,1.2,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,3131907
1.1.1.3,1.1.1,2016,HORAS EXTRAS Y DÍAS FESTIVOS,7838513.611
1.2.2.8,1.2.2,2017,SECRETARÍA DE EDUCACIÓN,83881420
1.1.4.3.2.1,1.1.4.3.2,2017,ADMINISTRACIÓN CENTRAL,13874164347
1.1.4.3.4,1.1.4.3,2017,SECRETARÍA DE EDUCACIÓN,1687586700
1.1.1.1,1.1.1,2017,ADMINISTRACIÓN CENTRAL,286318601019
1.2.2.3.1,1.2.2.3,2016,SEGUROS DE BIENES MUEBLES E INMUEBLES,14500309.876
1,,2017,CONTRALORIA,118456121867
1.1.1.4,1.1.1,2017,SECRETARÍA DE SALUD,13611029923
1.1.1.9,1.1.1,2017,ADMINISTRACIÓN CENTRAL,753723096
1.1.4.2.1,1.1.4.2,2017,CONTRALORIA,10338180010
1.1.3.6,1.1.3,2016,HONORARIOS DE LOS CONCEJALES,12433672.602
1.1.3,1.1,2016,SERVICIOS PERSONALES INDIRECTOS,100066074.056
1.2.2.6,1.2.2,2017,CONCEJO - SOLO MUNICIPIOS,338199928
1.1.4.1.1.2,1.1.4.1.1,2016,APORTES PARA PENSIÓN,37334375.024
1.3.19,1.3,2017,CONCEJO - SOLO MUNICIPIOS,42534295
1.3.6.1,1.3.6,2017,ADMINISTRACIÓN CENTRAL,271432209498
1.1.4.3.2,1.1.4.3,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,281741800
1.2.2.8.1,1.2.2.8,2017,ADMINISTRACIÓN CENTRAL,742951140
1.3.19,1.3,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,6996391175
1.1.4.2.1.2.1,1.1.4.2.1.2,2017,ADMINISTRACIÓN CENTRAL,21334533386
1.1.4.2,1.1.4,2017,SECRETARÍA DE EDUCACIÓN,6601566846
1.3.12,1.3,2016,FONDO NACIONAL DE PENSIONES TERRITORIALES FONPET,18734931.661
1.1.1.2,1.1.1,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,425951757
1.1.4.3.1.1,1.1.4.3.1,2017,PERSONERIA - SOLO MUNICIPIOS,327897200
1.1.3,1.1,2017,PERSONERIA - SOLO MUNICIPIOS,12377160377
1.1.4.2.1.1,1.1.4.2.1,2017,CONTRALORIA,5846914807
1.1.4.2.1.3.1,1.1.4.2.1.3,2017,ADMINISTRACIÓN CENTRAL,3682264878
1.1,1,2017,ADMINISTRACIÓN CENTRAL,762112585837
1.1.4.2,1.1.4,2017,UNIDAD DE SERVICIOS PÚBLICOS - SOLO MUNICIPIOS,1427709804
